"기준_년분기_코드","서울시_코드","서울시_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20244","11","서울시","2309985159","1085791109","1224194048","340350193","371672206","384882321","380681614","340398021","492000808","593011523","477687416","280646631","280897621","383704983","294036986","329574799","330251087","331646771","331149012","331081022","328422315","327860153"
"20251","11","서울시","2304586161","1085991834","1218594328","338569799","364140145","384563926","380849881","341684575","494777839","588604024","476519546","281540253","281632648","383656962","292632745","328618350","328679934","328999940","330024696","331098867","329175518","327988864"
"20252","11","서울시","2282555531","1070773070","1211782467","337891374","368962620","381498309","376843445","336527494","480832292","586210915","471357083","276825099","277215116","379731495","291215841","325830153","327230066","328110893","327781336","326933039","323892185","322777862"
"20212","11","서울시","2400733703","1133524159","1267209548","355155181","377668362","400650779","388372783","349764027","529122565","620134873","496721327","290452626","289972053","397422415","306030406","344826056","345104221","344053068","344871675","344451862","339013357","338413473"
"20231","11","서울시","2369029114","1119334363","1249694747","349986098","377013406","396598187","386089349","347439384","511902677","607639378","488998573","288233957","288302954","394203707","301650546","337647363","339170988","340116404","340247575","339830235","336395263","335621288"
"20224","11","서울시","2358249397","1112566676","1245682724","348286795","379075500","394679506","383444237","344539586","508223778","607523432","486489112","285361185","285622495","391972783","301280386","337644797","338287752","338628381","337926161","337457904","333845248","334459155"
"20223","11","서울시","2345378451","1108216479","1237161976","346414712","374454079","391688319","380443106","343432401","508945840","605219098","484044105","283889838","284066118","388746308","299412991","336428441","338417462","338501108","337486189","335334164","329047972","330163117"
"20221","11","서울시","2382152605","1128534806","1253617803","350252673","373834116","398836648","386714581","349826333","522688252","611399609","492956810","290128823","289892552","395419799","302355006","339760893","339752377","341177293","342025448","341991062","339155802","338289738"
"20214","11","서울시","2374527361","1122162097","1252365263","349254678","374203764","397013145","385345487","347671956","521038332","611944583","490777124","287844767","287750074","393740657","302470155","339908049","341243012","341253228","340708496","339897965","335820067","335696551"
"20213","11","서울시","2359537976","1115234874","1244303101","347091683","366937209","392828567","382519851","346987417","523173247","608718416","488021864","286405449","286078071","390062495","300251679","336821582","338101800","339937062","340234279","339134295","333290443","332018514"
"20211","11","서울시","2416938870","1143990116","1272948755","353884454","374062640","402866774","391105079","354124276","540895656","621574000","500909604","293976060","293150885","400372433","306955886","346896419","347628691","346940275","345855996","344103354","342289210","343224923"
"20204","11","서울시","2415724821","1141059829","1274664991","354907619","378481549","401225493","389330381","351920478","539859305","622642654","500097312","292930652","292198130","399906842","307949222","347551892","347609915","347629254","345190379","343583157","340959391","343200829"
"20203","11","서울시","2435932054","1148478616","1287453432","357916473","386923009","402780485","389714476","353167923","545429687","628119684","504236443","295678478","294948860","402598843","310349753","349664626","349840128","349430892","350259881","348927526","344139635","343669371"
"20202","11","서울시","2468277728","1163576194","1304701534","365629988","395299385","407291192","392820709","355085779","552150686","636292524","511048620","299369130","298464900","408301722","314800832","354660257","354794075","355158599","353931204","353284711","348143586","348305302"
